Exp df, 6.190001487731934,8.79000186920166,14.990001678466797,27.990001678466797,54.340003967285156
DNI df, 53.0,76.0,111.0,163.0,224.0
Exp 2s, 2.0999999046325684,7.900000095367432,15.500000953674316,26.80000114440918,43.5
DNI 2s, 7.0,17.0,42.0,103.0,134.0
Exp rnd, 1.7999999523162842,2.700000047683716,8.800000190734863,18.100000381469727,36.30000305175781
DNI rnd, 5.0,2.0,25.0,29.0,104.0
Exp grd, 15.40000057220459,25.400001525878906,55.400001525878906,85.53998565673828,135.48997497558594
DNI grd, 46.0,61.0,101.0,196.0,299.0
Exp deg, 4.000000476837158,8.090002059936523,11.89000129699707,27.290000915527344,49.44000244140625
DNI deg, 33.0,58.0,83.0,157.0,221.0
Exp df, 5.790000915527344,7.990001201629639,14.490001678466797,25.69000244140625,48.34000015258789
DNI df, 50.0,56.0,92.0,146.0,208.0
Exp 2s, 3.700000047683716,5.100000381469727,8.199999809265137,18.0,32.20000076293945
DNI 2s, 15.0,20.0,44.0,60.0,124.0
Exp rnd, 2.0,4.5,7.300000190734863,16.600000381469727,39.900001525878906
DNI rnd, 6.0,11.0,30.0,44.0,73.0
Exp grd, 15.40000057220459,25.400001525878906,55.400001525878906,85.53998565673828,135.48997497558594
DNI grd, 46.0,61.0,101.0,196.0,299.0
Exp deg, 4.000000476837158,8.090002059936523,11.89000129699707,27.290000915527344,49.44000244140625
DNI deg, 33.0,58.0,83.0,157.0,221.0
Exp df, 6.000000476837158,6.40000057220459,11.850000381469727,20.450000762939453,41.54999923706055
DNI df, 39.0,42.0,71.0,100.0,151.0
Exp 2s, 1.399999976158142,1.8000001907348633,5.990000247955322,14.989999771118164,26.600000381469727
DNI 2s, 4.0,14.0,32.0,40.0,79.0
Exp rnd, 0.5,2.8000001907348633,5.099999904632568,13.19999885559082,36.599998474121094
DNI rnd, 3.0,13.0,20.0,32.0,70.0
Exp grd, 15.40000057220459,25.400001525878906,55.400001525878906,85.53998565673828,135.48997497558594
DNI grd, 46.0,61.0,101.0,196.0,299.0
Exp deg, 4.000000476837158,8.090002059936523,11.89000129699707,27.290000915527344,49.44000244140625
DNI deg, 33.0,58.0,83.0,157.0,221.0
Exp df, 4.500000476837158,7.200000762939453,12.440001487731934,24.139999389648438,40.88999938964844
DNI df, 34.0,44.0,79.0,125.0,179.0
Exp 2s, 2.0,2.5,7.699999809265137,14.5,29.5
DNI 2s, 5.0,9.0,20.0,30.0,61.0
Exp rnd, 1.5,3.5,5.800000190734863,12.700000762939453,29.800003051757812
DNI rnd, 6.0,14.0,19.0,34.0,74.0
Exp grd, 15.40000057220459,25.400001525878906,55.400001525878906,85.53998565673828,135.48997497558594
DNI grd, 46.0,61.0,101.0,196.0,299.0
Exp deg, 4.000000476837158,8.090002059936523,11.89000129699707,27.290000915527344,49.44000244140625
DNI deg, 33.0,58.0,83.0,157.0,221.0
Exp df, 6.200001239776611,8.39000129699707,15.69000244140625,28.090002059936523,51.63999938964844
DNI df, 55.0,68.0,112.0,155.0,220.0
Exp 2s, 1.5,3.799999952316284,10.050000190734863,16.200000762939453,36.79999923706055
DNI 2s, 3.0,9.0,22.0,45.0,110.0
Exp rnd, 1.5,2.4000000953674316,8.899999618530273,13.5,33.70000076293945
DNI rnd, 4.0,10.0,22.0,39.0,70.0
Exp grd, 15.40000057220459,25.400001525878906,55.400001525878906,85.53998565673828,135.48997497558594
DNI grd, 46.0,61.0,101.0,196.0,299.0
Exp deg, 4.000000476837158,8.090002059936523,11.89000129699707,27.290000915527344,49.44000244140625
DNI deg, 33.0,58.0,83.0,157.0,221.0
Exp df, 6.490001201629639,10.39000129699707,17.64000129699707,26.889999389648438,43.1400032043457
DNI df, 58.0,77.0,116.0,162.0,210.0
Exp 2s, 1.5999999046325684,3.5,13.699999809265137,21.60000228881836,39.10000228881836
DNI 2s, 5.0,17.0,41.0,94.0,127.0
Exp rnd, 0.8999999761581421,5.300000190734863,7.100000381469727,17.5,35.20000457763672
DNI rnd, 4.0,10.0,22.0,44.0,70.0
Exp grd, 15.40000057220459,25.400001525878906,55.400001525878906,85.53998565673828,135.48997497558594
DNI grd, 46.0,61.0,101.0,196.0,299.0
Exp deg, 4.000000476837158,8.090002059936523,11.89000129699707,27.290000915527344,49.44000244140625
DNI deg, 33.0,58.0,83.0,157.0,221.0
Exp df, 6.100001335144043,8.400001525878906,16.290000915527344,29.790000915527344,47.13999938964844
DNI df, 50.0,61.0,104.0,157.0,212.0
Exp 2s, 2.4000000953674316,4.200000286102295,7.400000095367432,19.489999771118164,29.940000534057617
DNI 2s, 5.0,14.0,34.0,46.0,90.0
Exp rnd, 0.19999998807907104,4.300000190734863,7.90000057220459,13.100000381469727,30.399999618530273
DNI rnd, 2.0,13.0,43.0,45.0,108.0
Exp grd, 15.40000057220459,25.400001525878906,55.400001525878906,85.53998565673828,135.48997497558594
DNI grd, 46.0,61.0,101.0,196.0,299.0
Exp deg, 4.000000476837158,8.090002059936523,11.89000129699707,27.290000915527344,49.44000244140625
DNI deg, 33.0,58.0,83.0,157.0,221.0
Exp df, 5.30000114440918,7.890000820159912,16.190000534057617,28.490001678466797,47.44000244140625
DNI df, 44.0,63.0,102.0,155.0,216.0
Exp 2s, 1.5,2.299999952316284,11.200000762939453,23.60000228881836,44.25
DNI 2s, 7.0,32.0,63.0,99.0,132.0
Exp rnd, 2.200000047683716,2.700000047683716,9.600000381469727,14.0,36.20000076293945
DNI rnd, 3.0,19.0,21.0,47.0,70.0
